Company Name,Ticker,Sector,Industry,Exchange,Market Cap (mil)
"Cingulate Inc.","CING","Medical","Medical - Biomedical and Genetics","NSDQ","6.62"
"CI&T","CINT","Construction","Engineering - R and D Services","NYSE","655.92"
"Correlate Energy Corp.","CIPI","Oils-Energy","Alternative Energy - Other","OTC","72.4"
"CISO Global, Inc.","CISO","Computer and Technology","Internet - Software","NSDQ","19.82"
"C3is Inc.","CISS","Transportation","Transportation - Shipping","NSDQ","2.96"
"Cartica Acquisition Corp.","CITE","Unclassified","Unclassified","NSDQ","108.81"
"Civitas Resources","CIVI","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE","6180.65"
"China Industrial Waste Management","CIWT","Industrial Products","Pollution Control","OTC",""
"CompX International","CIX","Industrial Products","Office Supplies","AMEX","364.49"
"Chijet Motor Company, Inc.","CJET","Auto-Tires-Trucks","Automotive - Domestic","NSDQ","11.26"
"CHOW TAI FOOK","CJEWY","Retail-Wholesale","Retail - Jewelry","OTC","13853"
"China JoJo Drugstores","CJJD","Retail-Wholesale","Retail - Pharmacies and Drug Stores","NSDQ","4.46"
"Central Japan Railway Co.","CJPRY","Transportation","Transportation - Rail","OTC","25249.32"
"Corus Entertainment","CJREF","Consumer Discretionary","Broadcast Radio and Television","OTC","130.78"
"CK Hutchison","CKHUY","Conglomerates","Diversified Operations","OTC","19858.78"
"Checkpoint Therapeutics","CKPT","Medical","Medical - Biomedical and Genetics","NSDQ","45.64"
"VESUVIUS PLC","CKSNY","Construction","Engineering - R and D Services","OTC","1377.08"
"ColgatePalmolive","CL","Consumer Staples","Soap and Cleaning Materials","NYSE","66619.03"
"China Liaoning Dingxu Ecological Agriculture Development","CLAD","Consumer Staples","Agriculture - Operations","OTC","14.99"
"Clarus","CLAR","Consumer Discretionary","Leisure and Recreation Products","NSDQ","224.32"
"CORE LABS INC","CLB","Oils-Energy","Oil and Gas - Field Services","NYSE","736.84"
"Cellebrite DI Ltd.","CLBT","Business Services","Technology Services","NSDQ","1544.14"
"Cool Company Ltd.","CLCO","Transportation","Transportation - Shipping","NYSE","483.72"
